Data,Hora,Temperatura,Humidade,Qualidade do ar
12/08/2017,00:00,13, 51 ,125
12/08/2017,01:00,13, 51 ,124
12/08/2017,02:00,12, 50 ,126
12/08/2017,03:00,11, 50 ,126
12/08/2017,04:00,12, 49 ,126
12/08/2017,05:00,13, 52 ,127
12/08/2017,06:00,14, 54 ,127
12/08/2017,07:00,15, 55 ,132
12/08/2017,08:00,16, 56 ,133
12/08/2017,09:00,19, 56 ,139
12/08/2017,10:00,20, 57 ,141
12/08/2017,11:00,22, 54 ,141
12/08/2017,12:00,23, 56 ,138
12/08/2017,13:00,23, 54 ,139
12/08/2017,14:00,24, 55 ,137
12/08/2017,15:00,26, 53 ,136
12/08/2017,16:00,25, 52 ,135
12/08/2017,17:00,25, 52 ,135
12/08/2017,18:00,24, 52 ,136
12/08/2017,19:00,23, 53 ,132
12/08/2017,20:00,22, 52 ,127
12/08/2017,21:00,20, 51 ,126
12/08/2017,22:00,18, 51 ,126
12/08/2017,23:00,16, 50 ,126
